epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.918,2.12867,11.6281,1.79433,0,0,0,0,1.89188,8.86421,1.96409,6.25e-05,6.25e-05,6.25e-05
2,45.4481,2.02319,11.9711,1.721,0,0,0,0,2.16615,8.40505,1.99002,0.000135798,0.000135798,0.000135798
3,63.5058,1.51571,7.70219,1.39053,0.26164,0.04167,0.02376,0.01119,1.21925,6.92592,1.20455,0.000207241,0.000207241,0.000207241
4,80.6913,0.92803,4.37401,1.00526,0.47928,0.41667,0.27805,0.22112,1.0082,5.26403,0.98715,0.000276827,0.000276827,0.000276827
5,97.9396,0.81169,2.94296,0.9115,0.513,0.48605,0.47166,0.32015,1.05785,4.65566,0.9035,0.000344556,0.000344556,0.000344556
6,115.078,0.80368,2.42256,0.9321,0.91494,0.47743,0.59355,0.45988,0.7781,3.64914,0.83471,0.00041043,0.00041043,0.00041043
7,132.252,0.75897,1.91895,0.92255,0.72666,0.8685,0.9594,0.7825,0.84896,1.91494,0.85664,0.000474447,0.000474447,0.000474447
8,149.433,0.76409,1.78836,0.8848,0.98004,0.98755,0.995,0.80827,0.77051,1.4991,0.84507,0.000536608,0.000536608,0.000536608
9,166.632,0.64698,1.51189,0.86505,0.94773,0.98283,0.98929,0.80958,0.78447,1.61287,0.86478,0.000596913,0.000596913,0.000596913
10,183.521,0.68965,1.31448,0.88343,0.96494,0.93447,0.9886,0.82467,0.7767,1.15274,0.86313,0.000655361,0.000655361,0.000655361
11,200.416,0.64078,1.23619,0.85196,0.98234,0.99894,0.995,0.81108,0.83177,1.1111,0.92667,0.000711953,0.000711953,0.000711953
12,217.225,0.65632,1.02393,0.86111,0.9824,1,0.995,0.6957,1.08639,0.87394,0.98822,0.000766689,0.000766689,0.000766689
13,234.015,0.71839,1.04325,0.87762,0.97743,1,0.995,0.70121,0.99445,0.69741,0.97322,0.000819569,0.000819569,0.000819569
14,250.772,0.59617,0.93357,0.85243,0.98509,1,0.995,0.75676,0.94199,0.66426,0.9775,0.000870592,0.000870592,0.000870592
15,267.432,0.62609,0.8419,0.87176,0.98509,1,0.995,0.75676,0.94199,0.66426,0.9775,0.000919759,0.000919759,0.000919759
16,284.053,0.59932,0.79061,0.8487,0.95332,1,0.995,0.7592,0.88962,0.70143,0.99949,0.00096707,0.00096707,0.00096707
17,300.629,0.58365,0.81079,0.85773,0.97935,1,0.995,0.82054,0.73992,0.59237,0.93772,0.0010025,0.0010025,0.0010025
18,317.305,0.61736,0.78017,0.87066,0.98733,1,0.995,0.75371,0.88124,0.7134,1.00452,0.000987031,0.000987031,0.000987031
19,333.915,0.60766,0.70887,0.86207,0.98733,1,0.995,0.75371,0.88124,0.7134,1.00452,0.000971562,0.000971562,0.000971562
20,350.591,0.62862,0.73087,0.85528,0.96374,0.95911,0.99346,0.7556,0.87881,0.80486,1.00287,0.000956094,0.000956094,0.000956094
21,367.502,0.5485,0.65755,0.85976,0.91493,1,0.995,0.82225,0.66372,0.65082,0.91058,0.000940625,0.000940625,0.000940625
22,384.41,0.56948,0.60333,0.84421,0.97966,1,0.995,0.83353,0.67926,0.49578,0.88262,0.000925156,0.000925156,0.000925156
23,401.226,0.56451,0.56501,0.85239,0.97966,1,0.995,0.83353,0.67926,0.49578,0.88262,0.000909688,0.000909688,0.000909688
24,418.185,0.48858,0.5781,0.81702,0.98923,1,0.995,0.85318,0.59077,0.45152,0.83436,0.000894219,0.000894219,0.000894219
25,435.132,0.47888,0.55775,0.82681,0.98801,1,0.995,0.86056,0.58448,0.42901,0.82298,0.00087875,0.00087875,0.00087875
26,452.071,0.47934,0.50173,0.82568,0.98007,1,0.995,0.81813,0.63021,0.47232,0.84251,0.000863281,0.000863281,0.000863281
27,469.042,0.485,0.5023,0.84305,0.98007,1,0.995,0.81813,0.63021,0.47232,0.84251,0.000847813,0.000847813,0.000847813
28,485.991,0.54649,0.55542,0.8401,0.96854,1,0.995,0.84213,0.59828,0.47936,0.81818,0.000832344,0.000832344,0.000832344
29,502.858,0.52283,0.4927,0.81896,0.98486,1,0.995,0.88366,0.53799,0.41379,0.81016,0.000816875,0.000816875,0.000816875
30,519.813,0.492,0.45793,0.82604,0.99005,1,0.995,0.84666,0.64979,0.45643,0.83174,0.000801406,0.000801406,0.000801406
31,536.615,0.48323,0.46525,0.82628,0.99005,1,0.995,0.84666,0.64979,0.45643,0.83174,0.000785938,0.000785938,0.000785938
32,553.423,0.5245,0.46777,0.82022,0.98992,1,0.995,0.8121,0.7144,0.44451,0.83821,0.000770469,0.000770469,0.000770469
33,570.252,0.52156,0.46991,0.82273,0.99304,1,0.995,0.8205,0.629,0.45147,0.82859,0.000755,0.000755,0.000755
34,587.144,0.51009,0.46832,0.82255,0.99155,1,0.995,0.85356,0.55445,0.43959,0.81419,0.000739531,0.000739531,0.000739531
35,604.045,0.52357,0.45064,0.82564,0.99155,1,0.995,0.85356,0.55445,0.43959,0.81419,0.000724062,0.000724062,0.000724062
36,620.995,0.48751,0.44151,0.82789,0.98982,1,0.995,0.83266,0.65934,0.50334,0.82605,0.000708594,0.000708594,0.000708594
37,637.991,0.48802,0.43539,0.82892,0.98799,1,0.995,0.80215,0.78358,0.51536,0.84386,0.000693125,0.000693125,0.000693125
38,654.902,0.58634,0.45401,0.81891,0.987,1,0.995,0.81289,0.71867,0.48584,0.82671,0.000677656,0.000677656,0.000677656
39,671.836,0.50415,0.44096,0.83432,0.987,1,0.995,0.81289,0.71867,0.48584,0.82671,0.000662188,0.000662188,0.000662188
40,688.831,0.50213,0.4417,0.82859,0.99031,1,0.995,0.87063,0.56039,0.40123,0.81062,0.000646719,0.000646719,0.000646719
41,705.69,0.53376,0.44829,0.84843,0.99026,1,0.995,0.89804,0.53398,0.3667,0.80933,0.00063125,0.00063125,0.00063125
42,722.604,0.51987,0.41615,0.8421,0.98796,1,0.995,0.88385,0.56567,0.3818,0.80525,0.000615781,0.000615781,0.000615781
43,739.371,0.45943,0.43079,0.82613,0.98796,1,0.995,0.88385,0.56567,0.3818,0.80525,0.000600313,0.000600313,0.000600313
44,756.197,0.45013,0.39172,0.8351,0.98862,1,0.995,0.84295,0.66064,0.42725,0.81763,0.000584844,0.000584844,0.000584844
45,773.188,0.46114,0.41026,0.82639,0.98466,1,0.995,0.83769,0.66645,0.42027,0.80963,0.000569375,0.000569375,0.000569375
46,790.094,0.46134,0.39689,0.83078,0.98875,1,0.995,0.86771,0.57397,0.37971,0.8085,0.000553906,0.000553906,0.000553906
47,807.055,0.4549,0.38921,0.83187,0.98875,1,0.995,0.86771,0.57397,0.37971,0.8085,0.000538438,0.000538438,0.000538438
48,823.812,0.41161,0.37557,0.80128,0.99207,1,0.995,0.90113,0.47284,0.35916,0.80061,0.000522969,0.000522969,0.000522969
49,840.663,0.41491,0.36734,0.81603,0.99017,1,0.995,0.91135,0.45324,0.35845,0.7946,0.0005075,0.0005075,0.0005075
50,857.626,0.40283,0.37622,0.83893,0.98496,1,0.995,0.907,0.48869,0.35127,0.79087,0.000492031,0.000492031,0.000492031
51,874.676,0.37682,0.3605,0.81237,0.98496,1,0.995,0.907,0.48869,0.35127,0.79087,0.000476562,0.000476562,0.000476562
52,891.837,0.39812,0.35434,0.81126,0.98813,1,0.995,0.8945,0.49131,0.36006,0.79029,0.000461094,0.000461094,0.000461094
53,908.746,0.42389,0.35963,0.80694,0.98954,1,0.995,0.87424,0.49879,0.34223,0.79647,0.000445625,0.000445625,0.000445625
54,925.346,0.39832,0.36051,0.80531,0.98889,1,0.995,0.88836,0.45554,0.32103,0.79657,0.000430156,0.000430156,0.000430156
55,941.87,0.38945,0.35098,0.82451,0.98889,1,0.995,0.88836,0.45554,0.32103,0.79657,0.000414688,0.000414688,0.000414688
56,958.552,0.38476,0.34239,0.82432,0.98725,1,0.995,0.88952,0.42844,0.31438,0.78815,0.000399219,0.000399219,0.000399219
57,975.135,0.38329,0.33327,0.81521,0.98706,1,0.995,0.89046,0.47257,0.32281,0.78927,0.00038375,0.00038375,0.00038375
58,991.72,0.37471,0.31691,0.80213,0.98734,1,0.995,0.88169,0.47766,0.32691,0.79013,0.000368281,0.000368281,0.000368281
59,1008.27,0.37876,0.34201,0.79913,0.98734,1,0.995,0.88169,0.47766,0.32691,0.79013,0.000352812,0.000352812,0.000352812
60,1024.84,0.37037,0.31606,0.8156,0.98937,1,0.995,0.9032,0.43956,0.3151,0.78259,0.000337344,0.000337344,0.000337344
61,1041.37,0.40829,0.35119,0.82971,0.98963,1,0.995,0.91162,0.41164,0.2944,0.77834,0.000321875,0.000321875,0.000321875
62,1057.94,0.38933,0.33217,0.80141,0.98881,1,0.995,0.91716,0.39214,0.28779,0.77312,0.000306406,0.000306406,0.000306406
63,1075.07,0.34052,0.30919,0.79692,0.98881,1,0.995,0.91716,0.39214,0.28779,0.77312,0.000290937,0.000290937,0.000290937
64,1091.84,0.34885,0.30285,0.80809,0.98829,1,0.995,0.90613,0.41474,0.31359,0.77513,0.000275469,0.000275469,0.000275469
65,1108.75,0.35205,0.30847,0.80203,0.9889,1,0.995,0.89918,0.43179,0.30678,0.77958,0.00026,0.00026,0.00026
66,1125.33,0.33374,0.29522,0.79888,0.9902,1,0.995,0.91918,0.4193,0.28771,0.78157,0.000244531,0.000244531,0.000244531
67,1141.88,0.33272,0.30246,0.82048,0.9902,1,0.995,0.91918,0.4193,0.28771,0.78157,0.000229063,0.000229063,0.000229063
68,1158.48,0.31706,0.29037,0.80754,0.99125,1,0.995,0.91992,0.40552,0.2713,0.78253,0.000213594,0.000213594,0.000213594
69,1175.08,0.34896,0.30706,0.82123,0.9914,1,0.995,0.92031,0.40382,0.26219,0.77957,0.000198125,0.000198125,0.000198125
70,1191.73,0.3339,0.29895,0.80107,0.99113,1,0.995,0.93437,0.40508,0.26477,0.77835,0.000182656,0.000182656,0.000182656
71,1208.46,0.3125,0.29145,0.78008,0.99113,1,0.995,0.93437,0.40508,0.26477,0.77835,0.000167188,0.000167188,0.000167188
